Term,Definition,Alphabet,Slug,URL,Image
IDE,"Integrated Development Environment; software providing tools like code editor, debugger, and compiler for development.",I,,,
IP Address,A unique identifier assigned to a device on a network.,I,,,
IoT,Internet of Things; a network of physical devices connected to the internet for data exchange.,I,,,
Index,A database structure that improves the speed of data retrieval.,I,,,
Inheritance,An object-oriented programming concept where a class derives properties and methods from another class.,I,,,
Interface,A defined set of methods or properties that a class or system must implement.,I,,,
Instance,A specific object created from a class in object-oriented programming.,I,,,
Input,"Data provided to a program or system, often from the user or external devices.",I,,,
Instance Variable,A variable that belongs to a specific instance of a class.,I,,,
Injection,"A technique to pass dependencies or data into a component, e.g., Dependency Injection.",I,,,
Interrupt,A signal to the CPU indicating an event that needs immediate attention.,I,,,
Immutable,An object or data structure that cannot be changed after creation.,I,,,
IP Protocol,A set of rules for sending and receiving data packets over a network.,I,,,
IPv4,Internet Protocol version 4; a widely used IP addressing scheme with 32-bit addresses.,I,,,
IPv6,Internet Protocol version 6; a newer IP addressing scheme with 128-bit addresses.,I,,,
Iframe,An HTML element that embeds another HTML page within the current page.,I,,,
Identity Function,A function that returns its input without any modification.,I,,,
Image Processing,Techniques to manipulate or analyze digital images using software or algorithms.,I,,,
Import Statement,A command in programming languages to include external libraries or modules.,I,,,
In-Memory Database,A database that stores data in main memory for faster access.,I,,,
Iteration,"Repeating a set of instructions until a condition is met, often in loops.",I,,,
Indexing,"Organizing data for quick search and retrieval, commonly in databases or search engines.",I,,,
Injection Attack,"A security vulnerability where untrusted input alters program behavior, e.g., SQL injection.",I,,,
Increment,"Increasing a variable’s value, usually by 1.",I,,,
Initialization,The process of setting a variable or object to its starting value.,I,,,
Input Validation,Checking user or system input to ensure it meets expected criteria.,I,,,
Interface Segregation,"A SOLID principle advocating small, specific interfaces instead of large, general ones.",I,,,
Iterative Development,"A software development approach using repeated cycles of planning, development, and evaluation.",I,,,
Interpolation,"Calculating intermediate values in programming, graphics, or mathematics.",I,,,
Isomorphic,"A property where code or data behaves the same across different environments, e.g., server and client.",I,,,
Index Page,The default or main page of a website or web application.,I,,,
Instance Method,A method that operates on a specific instance of a class.,I,,,
Input Device,"Hardware that allows users to provide data to a computer, e.g., keyboard, mouse, sensor.",I,,,
Interface Builder,A tool in development environments to design user interfaces visually.,I,,,
IP Routing,The process of determining paths for data packets across networks.,I,,,
Inline Element,An HTML element that does not start on a new line and only occupies necessary width.,I,,,
Isolated Environment,"A runtime environment separated from the main system, e.g., virtual environments for Python.",I,,,
Instruction Set,A set of operations that a CPU can execute.,I,,,
Interrupt Handler,A function or routine that processes an interrupt signal.,I,,,
I/O,Input/Output; operations or devices that allow communication with external systems.,I,,,
IndexedDB,A browser API for storing structured data in client-side databases.,I,,,
Inheritance Hierarchy,The structure showing classes and their relationships in object-oriented programming.,I,,,
Image Format,"A standard way of encoding images, e.g., JPEG, PNG, GIF.",I,,,
Integration Testing,Testing combined components of a system to ensure they work together correctly.,I,,,
Immutable Object,An object whose state cannot be modified after creation.,I,,,
Import Path,The location or module path used to import a library or component in code.,I,,,
Initializer,A method or block that sets up an object’s initial state.,I,,,
Indexed Column,A database column that is indexed to improve query performance.,I,,,
Inline Script,JavaScript code embedded directly within an HTML file.,I,,,
Input Stream,"A flow of data into a program, often from files, network, or user input.",I,,,
Image Recognition,Using algorithms or AI to detect and identify objects within images.,I,,,
Iterative Algorithm,An algorithm that repeatedly applies a set of instructions to reach a result.,I,,,
Interface Implementation,The act of coding the methods defined in an interface.,I,,,
Java,"A high-level, object-oriented programming language used for web, desktop, and mobile applications.",J,,,
JavaScript,A high-level programming language used for interactive web development and frontend scripting.,J,,,
JSON,JavaScript Object Notation; a lightweight data interchange format commonly used in APIs.,J,,,
JSX,JavaScript XML; a syntax extension for React that allows HTML-like code in JavaScript.,J,,,
Jupyter Notebook,"An interactive web-based environment for Python and data analysis with code, text, and visuals.",J,,,
JDK,Java Development Kit; a set of tools required to develop Java applications.,J,,,
JVM,Java Virtual Machine; a runtime environment that executes Java bytecode.,J,,,
JIT Compiler,Just-In-Time Compiler; compiles code at runtime to improve performance.,J,,,
JSON Web Token (JWT),"A compact, URL-safe token used for authentication and information exchange.",J,,,
JQuery,"A fast, small JavaScript library that simplifies DOM manipulation and event handling.",J,,,
JSON Schema,A format for defining the structure and validation rules of JSON data.,J,,,
Job Queue,A data structure or system for managing tasks or jobs to be processed asynchronously.,J,,,
Jinja2,"A template engine for Python, commonly used in Flask for rendering HTML.",J,,,
JS Framework,"A library or framework in JavaScript for building interactive web applications, e.g., React, Angular, Vue.",J,,,
JS Module,"A reusable JavaScript file that exports functions, objects, or variables.",J,,,
JS Event,"An action or occurrence detected in JavaScript, e.g., click, mouseover, or input.",J,,,
JS Callback,A function passed as an argument to be executed after another function finishes.,J,,,
JS Promise,An object representing the eventual completion or failure of an asynchronous operation.,J,,,
JS Async/Await,Syntax in JavaScript to handle asynchronous operations more cleanly than callbacks.,J,,,
JS Closure,"A function with access to its own scope, the outer function’s scope, and global scope.",J,,,
JS Hoisting,JavaScript behavior where variable and function declarations are moved to the top of their scope.,J,,,
JS Event Loop,A mechanism in JavaScript that handles asynchronous operations and task scheduling.,J,,,
JS Strict Mode,A way to enforce stricter parsing and error handling in JavaScript.,J,,,
JS Variable Scope,"Defines where variables are accessible within JavaScript code (global, function, block).",J,,,
JS Object,A collection of key-value pairs in JavaScript representing structured data.,J,,,
JS Array,A data structure in JavaScript for storing ordered lists of values.,J,,,
JS DOM Manipulation,Techniques to access and change HTML elements dynamically using JavaScript.,J,,,
JS Module Bundler,Tools like Webpack or Parcel that combine multiple JavaScript modules into one file.,J,,,
JS Event Delegation,Technique of attaching a single event listener to a parent element to manage child events.,J,,,
JS Debounce,A programming pattern to limit how often a function executes over time.,J,,,
JS Throttle,A programming pattern to control the execution rate of a function.,J,,,
JS Recursion,A function in JavaScript that calls itself to solve a problem.,J,,,
JS Spread Operator,A syntax (...) to expand elements of arrays or objects into individual elements.,J,,,
JS Destructuring,Syntax to unpack values from arrays or objects into separate variables.,J,,,
JS Template Literal,A way to embed expressions in strings using backticks (`) and ${} syntax.,J,,,
JS Event Bubbling,The process by which an event propagates from child elements to parent elements.,J,,,
JS Event Capturing,The process by which an event propagates from parent elements down to child elements.,J,,,
JS Object.freeze,A method to make a JavaScript object immutable.,J,,,
JS Prototype,A mechanism by which JavaScript objects inherit properties and methods.,J,,,
JS Class,A blueprint for creating objects with methods and properties in JavaScript.,J,,,
JS Arrow Function,A compact syntax for defining functions using => in JavaScript.,J,,,
JS Higher-Order Function,A function that takes another function as an argument or returns a function.,J,,,
JS Module Pattern,A design pattern for encapsulating and organizing JavaScript code.,J,,,
JS Event Listener,A function that waits for and handles events on HTML elements.,J,,,
JS IIFE,Immediately Invoked Function Expression; a function executed as soon as it is defined.,J,,,
JS Local Storage,A web API to store key-value pairs locally in a user’s browser.,J,,,
JS Session Storage,A web API to store data for the duration of the browser session.,J,,,
JS Fetch,A modern API to make HTTP requests in JavaScript.,J,,,
JS Error Handling,Techniques to handle exceptions and errors in JavaScript code.,J,,,
JS Mutation Observer,An API to watch for changes in the DOM and execute code when they occur.,J,,,
JS Proxy,A JavaScript object used to define custom behavior for fundamental operations.,J,,,
JS WeakMap,A collection of key-value pairs where keys are objects and references are weak.,J,,,
Kubernetes,"An open-source platform for automating deployment, scaling, and management of containerized applications.",K,,,
Key,A unique identifier used to access a value in a data structure or database.,K,,,
Key Pair,A set of cryptographic keys (public and private) used for secure communication.,K,,,
Keyword,A reserved word in a programming language with a special meaning.,K,,,
Keyframe,A frame in CSS or animation that defines the start or end state of an animation.,K,,,
Key-Value Store,A database that stores data as key-value pairs for fast retrieval.,K,,,
Kinematics,"Study of motion in electronics and robotics, often used in embedded systems.",K,,,
Kernel,The core part of an operating system managing hardware and system resources.,K,,,
Keylogger,"Software that records keystrokes on a device, often for monitoring or malicious purposes.",K,,,
Key Binding,Mapping a key or key combination to a specific command or function in software.,K,,,
Keyframe Animation,Animation defined using keyframes to specify changes in element properties over time.,K,,,
Key Management,"Process of creating, storing, and managing cryptographic keys securely.",K,,,
Key-Value Pair,A pair consisting of a unique key and its corresponding value in programming or databases.,K,,,
Kafka,A distributed streaming platform for building real-time data pipelines and applications.,K,,,
Keyword Argument,"A parameter passed to a function by explicitly naming it, e.g., func(arg=value).",K,,,
Keyboard Event,An event in programming triggered by a key press or release.,K,,,
Keyframe Selector,A CSS rule used to define keyframes in animations.,K,,,
Key Stretching,A technique to make a weak key more secure against brute-force attacks.,K,,,
Keyspace,The set of all possible keys in a cryptographic system.,K,,,
Keyed Data,Data organized or accessed using a key in a key-value store or dictionary.,K,,,
KNN,K-Nearest Neighbors; a machine learning algorithm for classification or regression.,K,,,
Kiosk Mode,A software mode restricting a device to a single application or interface.,K,,,
Key Rotation,The process of periodically changing cryptographic keys to maintain security.,K,,,
Key Exchange,The process of securely sharing cryptographic keys between parties.,K,,,
Kernel Module,A loadable component of the OS kernel that extends its functionality.,K,,,
Keyboard Shortcut,A combination of keys that performs a specific command in software.,K,,,
Keyframe Timing,The duration and timing of keyframes in animations.,K,,,
Key Derivation Function,A function that derives strong cryptographic keys from passwords.,K,,,
Key Performance Indicator (KPI),A measurable value used to track the success of a project or system.,K,,,
Keypad,A hardware input device with multiple keys for entering data or commands.,K,,,
Key Mapping,Associating specific keys with functions or actions in software or devices.,K,,,
Key Signature,"In programming, sometimes used in musical software; in general, a cryptographic signature key.",K,,,
Kernel Panic,A critical error in the operating system kernel causing system halt.,K,,,
Keyspace Exhaustion,Occurs when all possible keys in a cryptographic system are tried or used.,K,,,
Keycloak,An open-source identity and access management solution for authentication and authorization.,K,,,
Keyframes Rule,CSS syntax used to define animation steps at specific points.,K,,,
Key Encoding,Method of representing keys in cryptographic or storage systems.,K,,,
Keyed Hash,A hash function that uses a secret key for authentication purposes.,K,,,
Key Frame Interval,"In video or animation, the spacing between keyframes.",K,,,
Keyword Planner,A tool used in SEO to research and plan keywords.,K,,,
Knowledge Base,"A repository of structured information for reference, troubleshooting, or AI applications.",K,,,
Knowledge Graph,A network of entities and relationships used for semantic search and AI reasoning.,K,,,
Kubernetes Pod,"The smallest deployable unit in Kubernetes, consisting of one or more containers.",K,,,
Kubernetes Cluster,A group of nodes managed by Kubernetes to run containerized applications.,K,,,
Kernel Mode,Privileged CPU mode allowing direct access to hardware and memory.,K,,,
Kernel Thread,A lightweight process managed by the operating system kernel.,K,,,
Keyframe Animation Curve,A graph defining how animated values change between keyframes.,K,,,
Key Compliance,Ensuring cryptographic keys follow organizational security policies.,K,,,
Keyed Storage,Data storage method where data is accessed using a key.,K,,,
Lambda Function,An anonymous function in Python or other languages used for concise expressions.,L,,,
Library,A collection of pre-written code or functions used to simplify development.,L,,,
Load Balancer,A device or service that distributes incoming network traffic across multiple servers.,L,,,
Localhost,A hostname that refers to the computer currently used; typically 127.0.0.1.,L,,,
Linear Search,A simple search algorithm that checks each element in a sequence until a match is found.,L,,,
Linked List,A data structure consisting of nodes where each node points to the next.,L,,,
Linux,"An open-source operating system widely used for servers, development, and embedded systems.",L,,,
Linter,"A tool that analyzes code for errors, style issues, or potential bugs.",L,,,
List Comprehension,A concise way to create lists in Python using a single expression.,L,,,
Load Testing,The process of testing a system's performance under expected or high traffic conditions.,L,,,
Local Storage,A web API to store data in the user's browser persistently.,L,,,
Logging,Recording application events or errors for monitoring and debugging purposes.,L,,,
Latency,The delay between a request and a response in a network or system.,L,,,
Loop,A programming construct that repeats a block of code until a condition is met.,L,,,
Lightweight Framework,"A minimal web framework with few dependencies, e.g., Flask.",L,,,
LRU Cache,Least Recently Used cache; a caching strategy that removes the least recently accessed items first.,L,,,
Lvalue,A variable or memory location that can appear on the left-hand side of an assignment.,L,,,
Lexer,A component in compilers that converts source code into tokens.,L,,,
LAMP Stack,"A web development stack consisting of Linux, Apache, MySQL, and PHP/Python.",L,,,
Latent Variable,A variable that is not directly observed but inferred from other variables.,L,,,
Layer,"A level in software architecture, e.g., presentation layer, data layer.",L,,,
Linker,A tool that combines object files into a single executable in programming.,L,,,
Logical Operator,"Operators that perform logical operations, e.g., AND, OR, NOT.",L,,,
Low-Level Language,"Programming language closer to machine code, e.g., assembly.",L,,,
Local Variable,A variable defined within a function or block and accessible only there.,L,,,
Library Management System,"Software for managing books, resources, and users in libraries.",L,,,
Load Factor,"In data structures like hash tables, the ratio of stored elements to total slots.",L,,,
Logging Framework,"Software tools for standardized logging, e.g., Python’s logging module.",L,,,
Latency Time,Time delay between sending a request and receiving a response.,L,,,
List,A collection data type in Python or other languages that stores ordered elements.,L,,,
Lightweight Protocol,"A protocol designed for minimal resource usage, e.g., MQTT for IoT.",L,,,
Live Reload,A development feature that refreshes the application automatically on code changes.,L,,,
LSTM,Long Short-Term Memory; a type of neural network for processing sequential data.,L,,,
Load Balancing Algorithm,"Methods for distributing traffic across servers, e.g., round-robin or least connections.",L,,,
Library Dependency,External libraries required for a project to function correctly.,L,,,
Layout,The arrangement of elements in a web page or application interface.,L,,,
Localhost Server,A server running on the developer’s machine for testing purposes.,L,,,
License,"Legal terms governing the use, modification, and distribution of software.",L,,,
Layered Architecture,"Software architecture divided into layers, e.g., presentation, business, data.",L,,,
Latency Optimization,Techniques to reduce delays in network communication or program execution.,L,,,
Linux Kernel,The core part of the Linux operating system managing resources and hardware.,L,,,
Loop Control,"Statements that alter loop execution, e.g., break, continue.",L,,,
List Index,The position of an element within a list or array.,L,,,
Lazy Loading,Loading resources only when needed to improve performance.,L,,,
Local Environment,The developer’s machine setup for coding and testing applications.,L,,,
Logger,An object or component responsible for recording logs in an application.,L,,,
Lookup Table,A data structure used to map input values to output values for quick access.,L,,,
Logical Error,A bug in code that produces incorrect results but does not crash the program.,L,,,
Linear Regression,A statistical method to model the relationship between variables with a straight line.,L,,,
Lattice,"A network or grid-like structure in electronics or physics, sometimes used in simulations.",L,,,
Machine Learning,A field of AI where systems learn patterns from data to make predictions or decisions.,M,,,
MongoDB,A NoSQL document-oriented database used for flexible and scalable data storage.,M,,,
Middleware,"Software that acts as a bridge between different applications, services, or components.",M,,,
Model,"In MVC architecture, the component that manages data and business logic.",M,,,
Module,"A reusable unit of code in programming, often stored in separate files.",M,,,
Method,A function associated with an object or class in programming.,M,,,
MVC,"Model-View-Controller; a software design pattern for separating application logic, UI, and data.",M,,,
Mobile App,Software designed to run on smartphones or tablets.,M,,,
Multithreading,A programming technique where multiple threads execute concurrently.,M,,,
MySQL,A widely-used relational database management system.,M,,,
Macro,A set of instructions that can be executed as a single command.,M,,,
Metadata,Data that provides information about other data.,M,,,
Module Bundler,"A tool that combines multiple JavaScript modules into a single file, e.g., Webpack.",M,,,
Memory Leak,"A situation where memory is not properly released, causing gradual system slowdown.",M,,,
Microservices,"An architectural style where applications are composed of small, independent services.",M,,,
Mutation,"A change or modification of data, often used in programming or databases.",M,,,
Mutex,A synchronization primitive used to prevent concurrent access to shared resources.,M,,,
Mapping,"Associating one set of data elements with another, e.g., key-value mapping.",M,,,
Markdown,A lightweight markup language used to format text in web documents.,M,,,
Module Import,The process of including a module or library in a program.,M,,,
Model Training,The process of teaching a machine learning model using data.,M,,,
Mobile First,A design strategy that prioritizes mobile users when creating interfaces.,M,,,
Method Overloading,Defining multiple methods with the same name but different parameters.,M,,,
Method Overriding,Redefining a method in a subclass to change or extend its behavior.,M,,,
Memory Management,"Techniques for allocating, using, and freeing memory in programs.",M,,,
Microcontroller,A small computer on a single chip used in electronics projects and embedded systems.,M,,,
MQTT,A lightweight messaging protocol commonly used in IoT applications.,M,,,
Multicast,Sending a network packet to multiple destinations simultaneously.,M,,,
Model Evaluation,Assessing the performance of a machine learning model using metrics like accuracy.,M,,,
Module Scope,The area in a program where a module’s variables and functions are accessible.,M,,,
Mock Object,A simulated object used in testing to mimic real objects.,M,,,
Middleware Layer,"Part of an application that connects frontend and backend, often handling requests.",M,,,
Machine Code,Low-level instructions executed directly by a CPU.,M,,,
Method Chaining,A programming technique where multiple methods are called sequentially on an object.,M,,,
Message Queue,A data structure or system for storing messages to be processed asynchronously.,M,,,
Multi-Platform,Software that runs on multiple operating systems or devices.,M,,,
Mobile Optimization,Adjusting a website or app for the best performance and usability on mobile devices.,M,,,
Module Pattern,A design pattern used to encapsulate code and manage dependencies.,M,,,
Memory Address,A unique location in memory where data is stored.,M,,,
Modular Design,"Designing software in separate, interchangeable components or modules.",M,,,
MIME Type,A standard indicating the format of files or data transmitted over the internet.,M,,,
Master-Slave Architecture,"A system design where one component controls others, commonly used in databases or electronics.",M,,,
Multithreaded Application,An application that performs multiple tasks concurrently using threads.,M,,,
Microprocessor,"A CPU integrated onto a single chip, used in computers and embedded devices.",M,,,
Model Serialization,Converting a machine learning model into a format for storage or deployment.,M,,,
Memory Buffer,Temporary storage used to hold data during processing or transfer.,M,,,
Multi-Factor Authentication,Security mechanism requiring multiple verification steps to access a system.,M,,,
Modal Window,"A UI element that displays content on top of a page, requiring user interaction before proceeding.",M,,,
Memory Heap,A region of memory used for dynamic allocation of objects during program execution.,M,,,
Message Broker,Middleware that manages and routes messages between services or applications.,M,,,
Machine Vision,"Using cameras and algorithms to allow machines to ""see"" and interpret images.",M,,,
Microbenchmark,"A small, focused test to measure the performance of a specific code segment.",M,,,
Model Deployment,The process of making a trained machine learning model available for use.,M,,,
Node.js,A JavaScript runtime built on Chrome’s V8 engine for server-side development.,N,,,
Namespace,"A container that holds identifiers like variables, functions, or classes to avoid conflicts.",N,,,
Null,A special value representing the absence of a value or a non-existent object.,N,,,
Nginx,A high-performance web server and reverse proxy server.,N,,,
Network,A system of interconnected computers or devices that communicate with each other.,N,,,
Neural Network,"A computational model inspired by the human brain, used in machine learning.",N,,,
Node,"A basic unit in data structures, networks, or distributed systems.",N,,,
Normalization,The process of organizing database data to reduce redundancy and improve integrity.,N,,,
Nested Loop,A loop inside another loop in programming.,N,,,
NumPy,A Python library for numerical computing and array processing.,N,,,
Null Pointer,A pointer that does not point to any valid memory address.,N,,,
Named Parameter,A function argument specified by name rather than position.,N,,,
Networking Protocol,Rules and conventions for communication between network devices.,N,,,
Namespace Pollution,"Occurs when too many identifiers exist in a shared namespace, causing conflicts.",N,,,
Non-Blocking I/O,Input/output operations that do not stop program execution while waiting for completion.,N,,,
Nested Function,A function defined inside another function.,N,,,
Node Module,A reusable JavaScript file or package used in Node.js applications.,N,,,
Null Object Pattern,A design pattern using a neutral object to represent the absence of a value.,N,,,
Notification,A message or alert sent to a user by an application or system.,N,,,
Node Package Manager (NPM),"A package manager for JavaScript, commonly used with Node.js.",N,,,
Network Topology,The arrangement of nodes and connections in a network.,N,,,
Natural Language Processing (NLP),"A field of AI that enables computers to understand, interpret, and generate human language.",N,,,
Normal Distribution,A statistical distribution where data is symmetrically distributed around the mean.,N,,,
Namespace Collision,A conflict occurring when two identifiers in the same namespace have the same name.,N,,,
Network Interface,A hardware or software interface for connecting devices to a network.,N,,,
Nested Dictionary,A dictionary containing other dictionaries as values.,N,,,
Node Link,A connection between two nodes in a graph or network.,N,,,
Noise,Random or irrelevant data that can interfere with processing or analysis.,N,,,
N-tier Architecture,"A software architecture dividing applications into multiple layers, e.g., presentation, business, data.",N,,,
Network Packet,A unit of data transmitted over a network.,N,,,
Null Hypothesis,A statistical hypothesis assuming no effect or relationship between variables.,N,,,
Number System,"A method of representing numbers, e.g., binary, decimal, hexadecimal.",N,,,
Non-Relational Database,"A database that does not use tables and SQL, e.g., MongoDB.",N,,,
Node Tree,"A hierarchical structure of nodes, commonly used in DOM or file systems.",N,,,
NFS,Network File System; a protocol for sharing files over a network.,N,,,
Named Entity Recognition (NER),"A process in NLP to identify proper nouns like names, places, or organizations.",N,,,
Nested Loop Optimization,Techniques to improve performance of loops within loops.,N,,,
Node.js Event Loop,Mechanism in Node.js that handles asynchronous operations and callbacks.,N,,,
Named Pipe,A method for inter-process communication using a named channel.,N,,,
Numeric Array,An array containing numeric values for computation.,N,,,
Namespace Alias,An alternative name for a namespace to simplify code references.,N,,,
Network Latency,The time delay between sending and receiving data over a network.,N,,,
Null Check,A programming check to ensure a variable is not null before accessing it.,N,,,
Named Tuple,"A tuple with named fields, often used in Python for readability.",N,,,
Network Security,Measures and protocols to protect data and resources in a network.,N,,,
Non-Volatile Memory,Memory that retains data even when the system is powered off.,N,,,
Node.js Callback,A function executed after a Node.js asynchronous operation completes.,N,,,
Numeric Precision,The degree of exactness in representing numbers in programming or computation.,N,,,
Network Switch,A device that connects devices in a network and forwards data based on MAC addresses.,N,,,
Network Address Translation (NAT),Technique for remapping IP addresses within a network for routing or security.,N,,,
Null Coalescing,A programming operator that provides a default value if an expression is null.,N,,,
OAuth,"An open standard for access delegation, commonly used for secure authorization.",O,,,
Object,An instance of a class containing data and methods in programming.,O,,,
Object-Oriented Programming (OOP),"A programming paradigm based on objects, classes, inheritance, and encapsulation.",O,,,
Observable,"An object representing a stream of data that can be observed, often used in reactive programming.",O,,,
ORM,Object-Relational Mapping; a technique to interact with databases using objects.,O,,,
Open Source,"Software with source code freely available for use, modification, and distribution.",O,,,
Operator,A symbol that performs a specific operation on one or more operands.,O,,,
Opcode,A machine-level instruction executed by a CPU.,O,,,
Overloading,Defining multiple functions or methods with the same name but different parameters.,O,,,
Overriding,Redefining a method in a subclass to modify or extend its behavior.,O,,,
Object Literal,A syntax in JavaScript for defining objects using key-value pairs.,O,,,
Object Property,A variable associated with an object.,O,,,
Output,"Data produced by a program, function, or device.",O,,,
Optimization,"The process of improving performance, efficiency, or resource usage.",O,,,
OS,Operating System; software that manages hardware and software resources.,O,,,
OSI Model,Open Systems Interconnection model; a conceptual framework for networking layers.,O,,,
Overflow,A condition where a calculation exceeds the storage capacity of a variable.,O,,,
Object Pool,A design pattern that reuses objects instead of creating new ones repeatedly.,O,,,
OpenGL,A cross-platform API for rendering 2D and 3D graphics.,O,,,
Observer Pattern,A design pattern where an object notifies observers of state changes.,O,,,
OnClick Event,A frontend event triggered when a user clicks an element.,O,,,
Object Destructuring,A JavaScript syntax to extract properties from objects into variables.,O,,,
Object Freeze,A JavaScript method that makes an object immutable.,O,,,
OpenAPI,A standard for defining RESTful APIs in a machine-readable format.,O,,,
Orchestration,Coordinating multiple services or processes to work together efficiently.,O,,,
Overflow Error,An error occurring when a value exceeds the limits of its data type.,O,,,
Operator Precedence,Rules determining the order in which operations are performed.,O,,,
Object Reference,A variable that points to an object in memory.,O,,,
OS Command,A command executed by the operating system.,O,,,
Object Key,A name used to access a value in an object.,O,,,
Object-Oriented Design,"Designing software using objects, classes, and relationships between them.",O,,,
OpenID Connect,An identity layer on top of OAuth 2.0 for authentication.,O,,,
Object Serialization,Converting an object into a format for storage or transmission.,O,,,
OpenCV,Open-source computer vision library for image and video processing.,O,,,
Operator Overloading,Defining custom behavior for operators in a class.,O,,,
Object Store,A storage system that manages data as objects rather than files or blocks.,O,,,
Orphaned Process,"A process whose parent has terminated, often adopted by the OS.",O,,,
Online Transaction,A digital transaction performed over the internet.,O,,,
Object Mapping,"Mapping data between objects and databases, often via ORM.",O,,,
Overcommit,"Allowing allocation of more resources than physically available, relying on OS management.",O,,,
Object Comparison,Checking equivalence or identity of objects in programming.,O,,,
OpenID,An open standard for decentralized authentication on the web.,O,,,
Output Stream,"A flow of data sent from a program to a destination, e.g., file, console.",O,,,
One-to-Many Relationship,A database relationship where a single record is associated with multiple records.,O,,,
One-to-One Relationship,A database relationship where one record corresponds to exactly one record.,O,,,
Overflow Handling,Techniques to manage data exceeding storage or processing limits.,O,,,
OAuth2,The second version of the OAuth protocol for secure delegated access.,O,,,
Object Hierarchy,The structure showing parent-child relationships between objects or classes.,O,,,
OS Kernel,"The central part of an operating system managing processes, memory, and hardware.",O,,,
Open Source License,"A legal framework specifying how software can be used, modified, and distributed.",O,,,
Output Buffer,Temporary storage used to hold data before sending it to a destination.,O,,,
Object Instantiation,Creating a new instance of a class in programming.,O,,,
ORM Query,A query executed through an ORM to interact with a database.,O,,,
Python,"A high-level, interpreted programming language known for readability and versatility.",P,,,
Package,A collection of modules or libraries bundled together in programming.,P,,,
PIP,Python package manager used to install and manage Python libraries.,P,,,
Parameter,A variable passed to a function or method to provide input.,P,,,
Parser,A program or library that interprets structured data or code.,P,,,
Python Virtual Environment,An isolated environment for Python projects with its own dependencies.,P,,,
Prototype,"In JavaScript, an object from which other objects inherit properties.",P,,,
PWA,Progressive Web App; a web application with mobile app-like features.,P,,,
Python Decorator,A function that modifies the behavior of another function or method.,P,,,
POST Request,An HTTP request method used to submit data to a server.,P,,,
Pagination,Dividing content into discrete pages to improve navigation and performance.,P,,,
Python Module,"A Python file containing functions, classes, or variables that can be imported.",P,,,
Pixel,The smallest unit of a digital image or display.,P,,,
Promise,A JavaScript object representing an asynchronous operation’s future result.,P,,,
POSTGRESQL,A powerful open-source relational database system.,P,,,
Python Class,A blueprint for creating objects with attributes and methods.,P,,,
Public Key,A cryptographic key used for encryption or signature verification.,P,,,
Python Package Index (PyPI),The repository of Python packages available for installation.,P,,,
Python Exception,An error raised during program execution in Python.,P,,,
Persistent Storage,Storage that retains data even after system shutdown.,P,,,
Python Function,A block of reusable code performing a specific task.,P,,,
Process,An instance of a running program in an operating system.,P,,,
Python List,A collection data type in Python that holds ordered elements.,P,,,
Python Dictionary,A data structure in Python storing key-value pairs.,P,,,
Protocol,A set of rules governing data communication between devices or systems.,P,,,
Python Tuple,An immutable ordered collection of elements in Python.,P,,,
Python Set,An unordered collection of unique elements in Python.,P,,,
Packet,A unit of data transmitted over a network.,P,,,
Python Generator,"A function that yields values lazily, one at a time, using yield.",P,,,
Python Iterator,An object that allows sequential access to elements using next().,P,,,
Python Comprehension,"A concise syntax to create lists, sets, or dictionaries from iterables.",P,,,
Python Lambda,An anonymous function defined with the lambda keyword.,P,,,
Python Boolean,A data type representing True or False values.,P,,,
Python String,A sequence of characters used to represent text in Python.,P,,,
Python Integer,A data type representing whole numbers in Python.,P,,,
Python Float,A data type representing decimal numbers in Python.,P,,,
Python File,"A data container stored on disk, accessible for reading or writing.",P,,,
Python Exception Handling,"The process of managing errors in Python using try, except, and finally.",P,,,
Python REPL,Read-Eval-Print Loop; an interactive Python shell.,P,,,
Python Decorator Function,A function that enhances or modifies another function in Python.,P,,,
Python Attribute,A variable or property associated with a Python object.,P,,,
Python Method,A function defined within a Python class.,P,,,
Python Import,The act of bringing a module or library into a Python program.,P,,,
Python Slice,"A syntax to extract a portion of a list, tuple, or string.",P,,,
Python Boolean Logic,"Logical operations using and, or, not in Python.",P,,,
Python Exception Types,"Built-in Python error categories like ValueError, TypeError, IndexError.",P,,,
Python Context Manager,"A construct using with to manage resources safely, e.g., files.",P,,,
Python Docstring,"A string literal used to document a function, class, or module.",P,,,
Python Regular Expression,A pattern-matching technique for strings using the re module.,P,,,
Python Package Dependency,Libraries or packages required for a Python project to function.,P,,,
Python Memory Management,Techniques for allocating and freeing memory in Python programs.,P,,,
Python Data Type,"A classification of data such as integer, string, list, tuple, set, or dictionary.",P,,,
Python Boolean Expression,An expression that evaluates to True or False in Python.,P,,,
Queue,A data structure that follows the First-In-First-Out (FIFO) principle.,Q,,,
Query,A request for data or information from a database or API.,Q,,,
Q-Learning,A reinforcement learning algorithm used to find optimal actions in AI.,Q,,,
Quantization,"The process of mapping input values to discrete output values, often in ML or signal processing.",Q,,,
Query Parameter,A key-value pair in a URL used to pass data to a web request.,Q,,,
Quick Sort,"A fast, divide-and-conquer sorting algorithm.",Q,,,
QR Code,A two-dimensional barcode used for encoding data for scanning.,Q,,,
Query Builder,A tool or API for constructing database queries programmatically.,Q,,,
Quicksilver,"A code name for a high-speed or optimized process, sometimes used in development tools.",Q,,,
Queue Data Structure,A linear structure for storing data in FIFO order.,Q,,,
